,Unnamed: 0,Lat,Lng,PNODE_ID,Type,ISO,NodeLMP,NodeMCC,NodeMCE,Average MCC
59,7366,35.643336,-106.731993,SPILLS_6_ELVADOHYDROGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/SPILLS_6_ELVADOHYDROGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/SPILLS_6_ELVADOHYDROGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/SPILLS_6_ELVADOHYDROGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-75.28303197916668
60,7408,34.317552,-109.165362,SPRV_3_COAL_SPV3GNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/SPRV_3_COAL_SPV3GNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/SPRV_3_COAL_SPV3GNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/SPRV_3_COAL_SPV3GNODE/NodeMCE.png"" width=""200"" height=""120""/>",-59.105939166666644
61,7475,35.565522,-106.08944,STATEPEN_1_SANTAFEPVGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/STATEPEN_1_SANTAFEPVGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/STATEPEN_1_SANTAFEPVGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/STATEPEN_1_SANTAFEPVGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.64778760416665
62,7606,35.002106,-106.637234,STUDIO_1_PROSPERITYGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/STUDIO_1_PROSPERITYGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/STUDIO_1_PROSPERITYGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/STUDIO_1_PROSPERITYGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.58650999999999
63,7727,34.987497,-106.733911,S_COORS_1_SOUTHVALLEPVGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/S_COORS_1_SOUTHVALLEPVGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/S_COORS_1_SOUTHVALLEPVGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/S_COORS_1_SOUTHVALLEPVGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.59377229166665
64,7739,35.875305,-106.320723,TA3_7_CGTGGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/TA3_7_CGTGGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/TA3_7_CGTGGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/TA3_7_CGTGGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.83308520833334
65,7750,34.65067831389528,-104.01445496316389,TAIBANM_3_LONEMESAWFGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/TAIBANM_3_LONEMESAWFGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/TAIBANM_3_LONEMESAWFGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/TAIBANM_3_LONEMESAWFGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-74.88676187500002
66,7917,34.690969,-106.685128,TOME_1_RIODELOROPVGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/TOME_1_RIODELOROPVGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/TOME_1_RIODELOROPVGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/TOME_1_RIODELOROPVGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-73.70315343749999
67,7918,34.611429,-106.732259,TOME_1_VEFGTGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/TOME_1_VEFGTGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/TOME_1_VEFGTGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/TOME_1_VEFGTGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-73.70315343749999
68,8578,34.472717,-105.96719,WILLARD_1_HIGHLONEWFGNODE,GEN,PNM,"<img src=""./data/NODE_LMP_Plots/WILLARD_1_HIGHLONEWFGNODE/NodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/WILLARD_1_HIGHLONEWFGNODE/NodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/NODE_LMP_Plots/WILLARD_1_HIGHLONEWFGNODE/NodeMCE.png"" width=""200"" height=""120""/>",-73.90598572916664
