,PNODE_ID,AS_ID,Type,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Lng,NodeLMP,NodeMCC,NodeMCE,Average MCC
125,MESAHGTS_6_N001,AS_SP26,LOAD,MSHGTS_6_LD32,22448_MESAHGTS_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,2525,32.82973419,-117.1572994,"<img src=""./data/SDGE_NODE_LMP_Plots/MESAHGTS_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESAHGTS_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESAHGTS_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",63.83994968749989
126,MESAHGTS_6_N007,AS_SP26,LOAD,MSHGTS_6_LD31,22448_MESAHGTS_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2524,32.82945648,-117.1571298,"<img src=""./data/SDGE_NODE_LMP_Plots/MESAHGTS_6_N007/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESAHGTS_6_N007/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESAHGTS_6_N007/SDGENodeMCE.png"" width=""200"" height=""120""/>",63.83994968749989
127,MESAHGTS_6_N011,AS_SP15,GEN,MSHGTS_6_MMARLF,22448_MESAHGTS_69.0_GUM1,22M7_DB114,2022-07-28 0:00:00,2527,32.82946573,-117.1573847,"<img src=""./data/SDGE_NODE_LMP_Plots/MESAHGTS_6_N011/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESAHGTS_6_N011/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESAHGTS_6_N011/SDGENodeMCE.png"" width=""200"" height=""120""/>",23.204327031250003
128,MESARIM_6_N001,AS_SP26,LOAD,MESARM_6_LD31,22444_MESA RIM_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2349,32.90487943,-117.1734469,"<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",56.88945097222227
129,MESARIM_6_N007,AS_SP26,LOAD,MESARM_6_LD33,22444_MESA RIM_69.0_LD33,22M7_DB114,2022-07-28 0:00:00,2351,32.90475475,-117.1730793,"<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N007/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N007/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N007/SDGENodeMCE.png"" width=""200"" height=""120""/>",58.992569461805516
130,MESARIM_6_N008,AS_SP15,LOAD,MESARM_6_LD32,22444_MESA RIM_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,2350,32.90495445,-117.1728972,"<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N008/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N008/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N008/SDGENodeMCE.png"" width=""200"" height=""120""/>",38.1179963888889
131,MESARIM_6_N012,AS_SP26,LOAD,MESARM_6_LD30,22444_MESA RIM_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,2348,32.90519416,-117.1731609,"<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N012/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N012/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MESARIM_6_N012/SDGENodeMCE.png"" width=""200"" height=""120""/>",58.992569461805516
132,MIRAMAR_6_N001,AS_SP26,LOAD,MIRMAR_6_LD31,22480_MIRAMAR _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2398,32.89420967,-117.135496,"<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMAR_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMAR_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMAR_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",62.28618986111111
133,MIRAMAR_6_N004,AS_SP26,LOAD,MIRMAR_6_LD32,22480_MIRAMAR _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,2399,32.8939727,-117.135802,"<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMAR_6_N004/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMAR_6_N004/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMAR_6_N004/SDGENodeMCE.png"" width=""200"" height=""120""/>",59.07864157986108
134,MIRAMAR_6_N017,AS_SP26,LOAD,MIRMAR_6_LD30,22480_MIRAMAR _69.0_LD30,22M7_DB114,2022-07-28 0:00:00,2397,32.89421848,-117.1357881,"<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMAR_6_N017/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMAR_6_N017/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMAR_6_N017/SDGENodeMCE.png"" width=""200"" height=""120""/>",59.07864157986108
135,MIRAMREF_7_B1,AS_SP15,GEN,MRGT_6_MMAREF,22489_MIRAMREF_13.8_GUEF,22M7_DB114,2022-07-28 0:00:00,2519,32.89401659,-117.1354521,"<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMREF_7_B1/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMREF_7_B1/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MIRAMREF_7_B1/SDGENodeMCE.png"" width=""200"" height=""120""/>",103.1766808506945
136,MISSION_6_N001,AS_SP15,LOAD,MSSION_6_LD32,22496_MISSION _69.0_LD32,22M7_DB114,2022-07-28 0:00:00,2542,32.78404045,-117.1373315,"<img src=""./data/SDGE_NODE_LMP_Plots/MISSION_6_N001/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MISSION_6_N001/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MISSION_6_N001/SDGENodeMCE.png"" width=""200"" height=""120""/>",61.968449756944516
137,MISSION_6_N031,AS_SP15,LOAD,MSSION_6_LD31,22496_MISSION _69.0_LD31,22M7_DB114,2022-07-28 0:00:00,2541,32.78414523,-117.13761,"<img src=""./data/SDGE_NODE_LMP_Plots/MISSION_6_N031/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MISSION_6_N031/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MISSION_6_N031/SDGENodeMCE.png"" width=""200"" height=""120""/>",27.71007463541667
138,MISSION_6_N040,AS_SP26,LOAD,MSSION_6_LD33,22496_MISSION _69.0_LD33,22M7_DB114,2022-07-28 0:00:00,2543,32.78433806,-117.1372528,"<img src=""./data/SDGE_NODE_LMP_Plots/MISSION_6_N040/SDGENodeLMP.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MISSION_6_N040/SDGENodeMCC.png"" width=""200"" height=""120""/>","<img src=""./data/SDGE_NODE_LMP_Plots/MISSION_6_N040/SDGENodeMCE.png"" width=""200"" height=""120""/>",45.8270648090278
