PNODE_ID,AS_ID,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Lat,Long
SPRNGVLY_6_N010,AS_SP26,LOAD,SPNGVY_6_LD31,22796_SPRNGVLY_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4702,32.739041,-117.002856
STREAMVW_6_N001,AS_SP26,LOAD,STRMVW_6_LD30,22800_STREAMVW_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4778,32.745635,-117.078586
STREAMVW_6_N001,AS_SP15,LOAD,STRMVW_6_LD30,22800_STREAMVW_69.0_LD30,22M7_DB114,2022-07-28 0:00:00,4778,32.745635,-117.078586
STREAMVW_6_N007,AS_SP15,LOAD,STRMVW_6_LD31,22800_STREAMVW_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4779,32.745617,-117.078773
STREAMVW_6_N007,AS_SP26,LOAD,STRMVW_6_LD31,22800_STREAMVW_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4779,32.745617,-117.078773
STUART_6_N001,AS_SP15,LOAD,STUART_6_LD30,22804_STUART _69.0_LD1,22M7_DB114,2022-07-28 0:00:00,4788,33.25671933,-117.4165729
STUART_6_N001,AS_SP26,LOAD,STUART_6_LD30,22804_STUART _69.0_LD1,22M7_DB114,2022-07-28 0:00:00,4788,33.25671933,-117.4165729
SWEETWTR_6_N017,AS_SP26,LOAD,SWTWTR_6_LD30,22820_SWEETWTR_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4826,32.658407,-117.091526
SWEETWTR_6_N017,AS_SP15,LOAD,SWTWTR_6_LD30,22820_SWEETWTR_69.0_LD32,22M7_DB114,2022-07-28 0:00:00,4826,32.658407,-117.091526
SWEETWTR_6_N018,AS_SP26,LOAD,SWTWTR_6_LD31,22820_SWEETWTR_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4827,32.658345,-117.091836
SWEETWTR_6_N018,AS_SP15,LOAD,SWTWTR_6_LD31,22820_SWEETWTR_69.0_LD31,22M7_DB114,2022-07-28 0:00:00,4827,32.658345,-117.091836
TELECYN_1_N001,AS_SP26,LOAD,TLGCYN_1_LD41,22852_TELECYN _138_LD41,22M7_DB114,2022-07-28 0:00:00,4912,32.637845,-117.015979
TELECYN_1_N001,AS_SP15,LOAD,TLGCYN_1_LD41,22852_TELECYN _138_LD41,22M7_DB114,2022-07-28 0:00:00,4912,32.637845,-117.015979
TELECYN_1_N006,AS_SP15,LOAD,TLGCYN_1_LD42,22852_TELECYN _138_LD42,22M7_DB114,2022-07-28 0:00:00,4913,32.638103,-117.016141
TELECYN_1_N006,AS_SP26,LOAD,TLGCYN_1_LD42,22852_TELECYN _138_LD42,22M7_DB114,2022-07-28 0:00:00,4913,32.638103,-117.016141
TELECYN_1_N014,AS_SP26,LOAD,TLGCYN_1_LD40,22852_TELECYN _138_LD40,22M7_DB114,2022-07-28 0:00:00,4911,32.637823,-117.016284
